game_id,season_type,home_team_id,home_pts,home_fgm,home_ftm,away_team_id,away_pts,away_fgm,away_ftm
10500001,Pre Season,1610612764,94,32,25,1610612739,116,37,37
10500002,Pre Season,1610612755,91,35,17,1610612745,105,38,26
10500003,Pre Season,1610612737,93,30,32,1610612753,104,40,22
10500004,Pre Season,1610612765,87,34,15,1610612741,76,26,23
10500005,Pre Season,1610612758,83,31,18,1610612742,96,35,25
10500006,Pre Season,1610612747,101,34,29,1610612744,93,25,35
10500007,Pre Season,1610612751,105,35,30,1610612754,103,31,33
10500008,Pre Season,1610612739,96,30,29,1610612738,86,32,18
10500009,Pre Season,1610612761,101,34,32,1610612762,102,33,32
10500010,Pre Season,1610612763,86,28,22,1610612741,82,27,24
10500011,Pre Season,1610612750,89,36,10,1610612749,92,37,16
10500012,Pre Season,1610612747,81,25,29,1610612744,112,36,31
10500013,Pre Season,1610612757,82,26,26,1610612760,75,27,19
10500014,Pre Season,1610612755,100,37,21,1610612759,88,33,19
10500015,Pre Season,1610612737,109,38,29,1610612766,105,45,11
10500016,Pre Season,1610612745,84,24,28,1610612753,80,28,21
10500017,Pre Season,1610612746,95,32,26,1610612742,80,30,16
10500018,Pre Season,1610612754,99,26,43,1610612762,92,36,18
10500019,Pre Season,1610612743,90,31,24,1610612740,100,36,20
10500020,Pre Season,1610612766,76,24,25,1610612751,95,31,27
10500021,Pre Season,1610612765,95,36,18,1610612749,88,30,24
10500022,Pre Season,1610612759,91,29,28,1610612764,95,33,24
10500023,Pre Season,1610612754,93,30,26,1610612750,84,28,20
10500024,Pre Season,1610612760,113,40,25,1610612756,114,42,17
10500025,Pre Season,1610612738,107,29,46,1610612761,100,35,24
10500026,Pre Season,1610612739,98,35,22,1610612755,100,35,22
10500027,Pre Season,1610612746,84,30,17,1610612758,90,33,21
10500028,Pre Season,1610612748,91,30,26,1610612763,101,30,33
10500029,Pre Season,1610612753,101,39,19,1610612740,83,31,15
10500030,Pre Season,1610612763,104,43,11,1610612764,79,27,19
10500031,Pre Season,1610612743,112,42,21,1610612757,85,31,23
10500032,Pre Season,1610612756,87,36,6,1610612746,90,34,18
10500033,Pre Season,1610612751,84,33,17,1610612752,93,36,19
10500034,Pre Season,1610612748,72,24,20,1610612766,82,31,19
10500035,Pre Season,1610612741,116,39,30,1610612738,97,34,26
10500036,Pre Season,1610612749,91,27,32,1610612739,89,30,27
10500037,Pre Season,1610612759,87,32,16,1610612745,95,31,28
10500039,Pre Season,1610612752,102,31,38,1610612742,104,40,21
10500040,Pre Season,1610612765,91,31,27,1610612750,80,30,14
10500041,Pre Season,1610612758,114,37,35,1610612744,99,32,28
10500042,Pre Season,1610612766,94,37,17,1610612737,88,33,16
10500043,Pre Season,1610612762,95,33,26,1610612756,106,39,18
10500045,Pre Season,1610612745,93,32,23,1610612760,85,27,25
10500046,Pre Season,1610612754,94,33,25,1610612759,81,34,10
10500047,Pre Season,1610612740,94,34,18,1610612737,97,41,9
10500048,Pre Season,1610612758,99,32,31,1610612743,102,37,23
10500049,Pre Season,1610612757,85,28,22,1610612746,99,40,16
10500050,Pre Season,1610612752,99,34,29,1610612755,114,36,38
10500051,Pre Season,1610612748,95,34,23,1610612753,91,29,28
10500052,Pre Season,1610612765,88,35,14,1610612742,94,36,16
10500053,Pre Season,1610612747,111,43,23,1610612764,108,39,25
10500054,Pre Season,1610612761,107,30,41,1610612751,105,39,25
10500055,Pre Season,1610612739,88,27,27,1610612763,84,30,20
10500056,Pre Season,1610612749,104,45,8,1610612765,94,32,21
10500057,Pre Season,1610612760,99,34,26,1610612746,93,31,25
10500058,Pre Season,1610612738,82,24,29,1610612741,98,36,21
10500060,Pre Season,1610612744,108,40,16,1610612756,96,41,6
10500061,Pre Season,1610612764,96,31,26,1610612766,89,36,12
10500062,Pre Season,1610612755,102,45,10,1610612739,106,42,17
10500063,Pre Season,1610612750,76,30,13,1610612754,93,29,34
10500064,Pre Season,1610612740,90,36,12,1610612759,97,34,23
10500065,Pre Season,1610612757,73,20,29,1610612762,92,36,20
10500066,Pre Season,1610612747,94,37,17,1610612743,105,38,24
10500067,Pre Season,1610612743,97,33,25,1610612764,91,31,27
10500068,Pre Season,1610612761,93,34,22,1610612738,83,36,9
10500069,Pre Season,1610612756,113,44,14,1610612760,81,29,16
10500070,Pre Season,1610612751,93,30,33,1610612755,91,37,12
10500071,Pre Season,1610612741,107,35,29,1610612749,105,33,32
10500072,Pre Season,1610612742,86,31,19,1610612752,85,30,24
10500073,Pre Season,1610612747,109,37,34,1610612766,93,33,21
10500074,Pre Season,1610612753,105,33,34,1610612737,100,34,28
10500075,Pre Season,1610612763,82,27,23,1610612745,78,27,20
10500076,Pre Season,1610612757,80,30,13,1610612758,100,38,20
10500077,Pre Season,1610612738,90,32,23,1610612751,69,30,9
10500078,Pre Season,1610612765,87,35,12,1610612748,66,25,16
10500079,Pre Season,1610612749,85,28,26,1610612750,89,35,14
10500080,Pre Season,1610612759,90,31,23,1610612752,96,36,23
10500081,Pre Season,1610612744,95,30,28,1610612760,108,37,31
10500082,Pre Season,1610612739,87,28,23,1610612761,83,27,25
10500083,Pre Season,1610612742,80,31,15,1610612746,99,39,15
10500084,Pre Season,1610612747,98,33,29,1610612766,97,34,24
10500085,Pre Season,1610612758,88,33,17,1610612756,100,39,10
10500086,Pre Season,1610612745,75,29,15,1610612764,71,26,17
10500087,Pre Season,1610612761,98,37,15,1610612757,105,38,24
10500088,Pre Season,1610612748,84,33,12,1610612737,83,33,15
10500089,Pre Season,1610612763,65,20,22,1610612753,67,22,21
10500090,Pre Season,1610612740,93,29,31,1610612743,97,34,24
10500091,Pre Season,1610612744,82,31,19,1610612746,112,38,31
10500092,Pre Season,1610612755,71,23,23,1610612752,80,33,12
10500093,Pre Season,1610612751,118,37,41,1610612738,116,43,24
10500094,Pre Season,1610612741,88,32,19,1610612763,95,31,19
10500095,Pre Season,1610612740,111,37,27,1610612748,91,36,11
10500096,Pre Season,1610612742,94,34,21,1610612749,86,28,24
10500097,Pre Season,1610612759,86,33,15,1610612754,97,35,19
10500099,Pre Season,1610612750,100,38,18,1610612741,92,35,17
10500100,Pre Season,1610612743,118,40,34,1610612749,115,41,24
10500101,Pre Season,1610612756,112,42,17,1610612758,102,34,26
10500102,Pre Season,1610612757,78,30,16,1610612761,100,39,15
10500103,Pre Season,1610612738,101,36,27,1610612739,100,32,30
10500104,Pre Season,1610612766,109,41,22,1610612754,103,38,25
10500105,Pre Season,1610612745,88,29,24,1610612762,80,31,10
10500106,Pre Season,1610612756,97,34,18,1610612744,92,36,14
10500109,Pre Season,1610612742,103,36,26,1610612765,97,40,13
10500113,Pre Season,1610612737,104,41,19,1610612740,90,32,24
10500114,Pre Season,1610612754,77,31,9,1610612764,85,34,13
10500116,Pre Season,1610612762,83,28,24,1610612743,89,33,22
10500117,Pre Season,1610612760,96,38,11,1610612757,85,33,19
10500118,Pre Season,1610612752,86,31,21,1610612751,91,27,36
10500119,Pre Season,1610612747,105,36,32,1610612758,103,34,30
10500120,Pre Season,1610612748,103,36,27,1610612759,101,39,15
10500121,Pre Season,1610612750,96,27,35,1610612765,92,33,18
10600007,Pre Season,1610612764,88,32,19,1610612761,93,27,29
10600008,Pre Season,1610612766,90,28,31,1610612753,109,36,34
10600009,Pre Season,1610612739,93,34,24,1610612738,109,38,30
10600010,Pre Season,1610612740,84,30,23,1610612742,81,31,17
10600012,Pre Season,1610612747,94,33,20,1610612762,79,35,5
10600013,Pre Season,1610612745,69,25,13,1610612763,75,27,17
10600014,Pre Season,1610612748,64,23,13,1610612765,84,31,20
10600015,Pre Season,1610612755,103,39,18,1610612756,100,38,12
10600017,Pre Season,1610612761,118,40,31,1610612738,112,33,36
10600018,Pre Season,1610612754,103,39,24,1610612751,89,30,27
10600019,Pre Season,1610612763,91,27,35,1610612737,108,39,22
10600020,Pre Season,1610612750,98,32,27,1610612749,93,32,23
10600021,Pre Season,1610612757,89,32,17,1610612760,99,32,30
10600022,Pre Season,1610612741,87,31,19,1610612764,86,29,24
10600024,Pre Season,1610612747,104,40,17,1610612760,101,38,24
10600025,Pre Season,1610612742,90,29,28,1610612758,111,39,25
10600027,Pre Season,1610612766,100,32,31,1610612749,104,38,21
10600028,Pre Season,1610612740,85,32,19,1610612753,100,36,23
10600029,Pre Season,1610612750,96,38,18,1610612765,101,38,21
10600030,Pre Season,1610612738,82,29,21,1610612739,91,36,13
10600031,Pre Season,1610612752,111,39,31,1610612751,97,28,33
10600032,Pre Season,1610612745,107,37,19,1610612737,93,34,22
10600033,Pre Season,1610612737,91,32,22,1610612748,81,31,15
10600034,Pre Season,1610612755,100,33,29,1610612752,102,35,29
10600035,Pre Season,1610612754,84,23,37,1610612762,97,32,29
10600036,Pre Season,1610612763,101,37,23,1610612765,89,28,28
10600037,Pre Season,1610612759,87,35,12,1610612753,92,33,19
10600038,Pre Season,1610612739,89,35,11,1610612764,93,37,14
10600039,Pre Season,1610612749,91,34,17,1610612742,78,24,25
10600040,Pre Season,1610612743,115,38,30,1610612744,121,45,26
10600041,Pre Season,1610612741,110,44,18,1610612760,105,36,27
10600042,Pre Season,1610612761,119,42,28,1610612751,110,38,24
10600043,Pre Season,1610612756,99,35,22,1610612747,91,37,8
10600044,Pre Season,1610612766,91,34,20,1610612764,100,36,22
10600045,Pre Season,1610612754,87,32,21,1610612750,103,30,41
10600046,Pre Season,1610612763,78,29,19,1610612741,87,33,21
10600047,Pre Season,1610612765,90,32,25,1610612762,85,30,23
10600048,Pre Season,1610612766,84,27,25,1610612764,100,34,26
10600049,Pre Season,1610612753,96,39,14,1610612737,100,34,27
10600051,Pre Season,1610612756,96,31,27,1610612746,107,38,30
10600052,Pre Season,1610612747,91,30,27,1610612758,96,29,34
10600053,Pre Season,1610612757,120,40,37,1610612744,124,43,28
10600054,Pre Season,1610612752,116,39,35,1610612738,108,38,27
10600055,Pre Season,1610612748,109,34,35,1610612740,105,37,20
10600056,Pre Season,1610612742,69,26,11,1610612745,72,25,15
10600057,Pre Season,1610612765,112,39,29,1610612750,103,37,24
10600058,Pre Season,1610612743,114,38,34,1610612754,102,38,20
10600059,Pre Season,1610612738,94,33,24,1610612751,90,31,24
10600060,Pre Season,1610612739,81,33,13,1610612761,103,36,23
10600061,Pre Season,1610612745,111,37,23,1610612749,97,39,8
10600062,Pre Season,1610612744,112,40,29,1610612740,103,35,28
10600064,Pre Season,1610612737,88,31,20,1610612753,109,35,32
10600065,Pre Season,1610612754,109,37,31,1610612766,96,33,23
10600066,Pre Season,1610612759,67,24,12,1610612741,99,42,12
