team_id,coach_id,start_year,end_year
1610612737,1,1993,2000
1610612752,1,2003,2005
1610612761,1,2000,2003
1610612737,2,2000,2003
1610612737,3,2004,2010
1610612752,3,2011,2014
1610612737,4,2010,2013
1610612739,4,2018,2019
1610612749,4,2013,2014
1610612737,5,2013,2018
1610612749,5,2018,NULL
1610612737,6,2018,NULL
1610612737,7,2020,NULL
1610612754,7,2016,2020
1610612757,7,2005,2012
1610612760,7,2000,2005
1610612749,8,2003,2005
1610612756,8,2008,2009
1610612738,9,2000,2004
1610612754,9,2007,2011
1610612755,9,2004,2005
1610612738,10,2003,2004
1610612738,11,2004,2013
1610612746,11,2013,2020
1610612753,11,1999,2004
1610612755,11,2020,NULL
1610612738,12,2013,NULL
1610612738,13,2021,NULL
1610612766,14,2007,2008
1610612739,15,2001,2003
1610612739,16,2002,2003
1610612744,16,2010,2011
1610612758,16,2011,2013
1610612755,17,2003,2004
1610612739,18,2004,2005
1610612739,19,2005,2014
1610612747,19,2011,2013
1610612739,20,2010,2013
1610612740,20,2004,2010
1610612747,20,2014,2016
1610612751,20,2000,2004
1610612739,21,2014,2016
1610612739,22,2019,NULL
1610612745,22,2015,2016
1610612763,22,2017,2019
1610612739,23,2019,2020
1610612739,24,1999,2001
1610612750,24,2006,2009
1610612764,24,2011,2016
1610612740,25,2009,2010
1610612740,26,2010,2015
1610612756,26,2019,NULL
1610612740,27,2015,2020
1610612746,27,2000,2003
1610612756,27,2008,2013
1610612758,27,2021,NULL
1610612765,27,1997,2000
1610612741,28,2001,2004
1610612741,29,2001,2002
1610612739,30,2015,2019
1610612746,30,2020,NULL
1610612738,31,1997,2001
1610612741,32,2007,2008
1610612741,32,2018,2020
1610612749,32,2012,2013
1610612741,33,2015,2019
1610612741,34,2020,NULL
1610612760,34,2015,2020
1610612742,35,1997,2005
1610612742,36,2004,2008
1610612751,36,2010,2013
1610612744,37,2014,NULL
1610612742,38,2021,NULL
1610612749,38,2014,2018
1610612751,38,2013,2014
1610612743,39,1992,2002
1610612743,40,2001,2002
1610612743,41,2002,2005
1610612743,42,2004,2013
1610612749,42,1998,2003
1610612758,42,2014,2016
1610612743,43,2004,2005
1610612743,44,2013,2015
1610612743,45,2014,2015
1610612743,46,2015,NULL
1610612758,46,2013,2015
1610612758,47,2009,2012
1610612760,47,1998,2001
1610612744,48,1999,2000
1610612744,49,2000,2002
1610612744,50,2001,2002
1610612744,51,2002,2004
1610612758,51,2006,2007
1610612744,52,2004,2006
1610612744,53,2011,2014
1610612737,54,2002,2004
1610612749,54,2005,2007
1610612757,54,2012,NULL
1610612745,55,2003,2007
1610612752,55,1995,2002
1610612740,56,2020,NULL
1610612748,56,2003,2006
1610612753,56,2007,2012
1610612765,56,2014,2018
1610612745,57,2011,2016
1610612750,57,2004,2009
1610612745,58,2016,2020
1610612747,58,2012,2014
1610612752,58,2008,2012
1610612756,58,2003,2008
1610612746,59,1998,2000
1610612755,59,2003,2004
1610612746,60,1999,2000
1610612746,61,2002,2003
1610612746,62,2003,2010
1610612757,62,1997,2001
1610612746,63,2009,2010
1610612745,64,1991,2003
1610612747,64,2004,2005
1610612740,65,2003,2004
1610612741,65,1998,2002
1610612747,66,2004,2005
1610612747,67,2012,2013
1610612766,67,2004,2007
1610612747,68,2016,2019
1610612758,68,2019,NULL
1610612747,69,2019,NULL
1610612753,69,2016,2018
1610612754,69,2010,2016
1610612762,70,2014,NULL
1610612748,71,2008,NULL
1610612749,72,2006,2008
1610612741,73,2008,2010
1610612746,73,2010,2013
1610612749,74,2017,NULL
1610612750,75,1995,2015
1610612764,75,2009,2012
1610612765,75,2005,2008
1610612750,76,2005,2007
1610612761,76,2011,2018
1610612765,76,2018,NULL
1610612760,77,2008,2015
1610612764,77,2016,NULL
1610612750,78,2009,2011
1610612752,78,2015,2016
1610612745,79,2020,NULL
1610612741,80,2010,2015
1610612750,80,2016,2019
1610612752,80,2020,NULL
1610612751,81,2009,2010
1610612750,82,2020,NULL
1610612751,83,1998,2000
1610612751,84,2003,2010
1610612765,84,2011,2013
1610612751,85,2009,2010
1610612741,86,2003,2008
1610612751,87,2014,2016
1610612763,87,1999,2013
1610612751,88,2016,2020
1610612751,89,2019,NULL
1610612753,89,2012,2015
1610612752,90,2001,2004
1610612752,91,2003,2005
1610612752,92,2005,2006
1610612755,92,1997,2003
1610612765,92,2003,2005
1610612766,92,2008,2011
1610612752,93,2006,2008
1610612754,93,2000,2003
1610612752,94,2014,2016
1610612752,95,2016,2018
1610612756,95,2013,2016
1610612752,96,2018,2020
1610612763,96,2016,2018
1610612752,97,2019,2020
1610612753,98,1993,2007
1610612763,98,1997,2000
1610612753,99,2003,2005
1610612763,99,2008,2009
1610612753,100,2004,2005
1610612753,101,2014,2015
1610612766,101,2018,NULL
1610612764,102,2021,NULL
1610612753,103,2021,NULL
1610612754,104,1997,2000
1610612751,105,2020,NULL
1610612761,106,2018,NULL
1610612754,107,2020,NULL
1610612750,108,2015,2016
1610612761,108,2004,2009
1610612755,109,2005,2009
1610612757,109,2001,2005
1610612765,109,2013,2014
1610612755,110,2009,2010
1610612764,110,2003,2009
1610612755,111,2010,2013
1610612764,111,2001,2003
1610612755,112,2013,2020
1610612756,113,1996,2000
1610612740,114,2021,NULL
1610612756,115,2001,2004
1610612756,116,2012,2013
1610612756,117,2015,2018
1610612756,118,2017,2018
1610612761,118,2008,2011
1610612756,119,2018,2019
1610612757,120,2004,2005
1610612744,121,1997,2000
1610612751,121,2012,2013
1610612760,121,2007,2009
1610612757,122,2011,2012
1610612757,123,2021,NULL
1610612753,124,2018,2021
1610612766,124,2013,NULL
1610612763,125,2000,2003
1610612758,126,2008,2009
1610612745,127,2007,2011
1610612750,127,2011,2014
1610612758,127,1998,2006
1610612758,128,2016,2019
1610612763,128,2013,2016
1610612759,129,1996,NULL
1610612742,130,2008,NULL
1610612754,130,2003,NULL
1610612765,130,2001,2003
1610612748,131,1995,2008
1610612760,132,2005,2006
1610612760,133,2005,2007
1610612747,134,1999,2011
1610612755,135,2008,2009
1610612760,136,2020,NULL
1610612761,137,1997,2000
1610612761,138,2003,2004
1610612763,139,2006,2007
1610612739,140,2003,2005
1610612740,140,2002,2003
1610612766,140,1998,2012
1610612762,141,1988,2011
1610612750,142,2018,NULL
1610612763,143,2002,2005
1610612763,144,2004,2007
1610612763,145,2007,2009
1610612764,146,1999,2000
1610612764,147,1999,2000
1610612764,148,2000,2001
1610612764,149,2008,2009
1610612741,150,2003,2008
1610612749,150,2008,2013
1610612753,150,2015,2016
1610612756,150,1999,2002
1610612758,151,2014,2015
1610612762,151,2010,2014
1610612765,152,1999,2001
1610612763,153,2019,NULL
1610612765,154,2008,2009
1610612765,155,2009,2011
1610612765,156,2013,2014
1610612758,157,2007,2009
1610612751,158,2015,2016
1610612766,159,2012,2013
