game_id,referee_id
10500001,1193
10500001,1155
10500001,2713
10500002,1153
10500002,1193
10500002,2529
10500003,1174
10500003,2001
10500003,1156
10500005,1163
10500005,2148
10500005,1185
10500007,2883
10500007,1148
10500007,1162
10500008,2534
10500008,2529
10500008,1167
10500009,1830
10500009,2005
10500009,1203
10500010,1168
10500010,906
10500010,1161
10500011,1147
10500011,1159
10500011,2147
10500013,1164
10500013,1363
10500013,100305
10500016,1151
10500016,1662
10500017,1179
10500017,1200
10500017,2716
10500018,1165
10500018,1826
10500018,2004
10500019,2003
10500019,2878
10500019,1180
10500020,1174
10500020,1830
10500020,2882
10500021,1195
10500021,2532
10500021,2530
10500023,1662
10500023,100699
10500023,1195
10500025,1144
10500025,1156
10500025,1146
10500027,2878
10500027,1363
10500027,1164
10500029,1664
10500029,1202
10500029,1168
10500030,1174
10500030,1830
10500032,1189
10500032,1194
10500032,100305
10500034,1151
10500034,1662
10500035,2713
10500035,1155
10500035,2003
10500036,2714
10500036,1826
10500036,1165
10500037,2534
10500037,2002
10500037,1162
10500039,2530
10500039,2147
10500039,1199
10500040,2882
10500040,1152
10500040,1146
10500041,1200
10500041,2716
10500041,1179
10500042,101284
10500042,1664
10500042,1161
10500043,1195
10500043,1198
10500043,2883
10500045,2001
10500045,2005
10500045,1203
10500046,1148
10500046,1185
10500046,1144
10500048,2004
10500048,1204
10500048,1180
10500050,1151
10500050,1662
10500050,2002
10500051,1165
10500051,1156
10500051,1664
10500052,1188
10500052,2714
10500052,1176
10500053,1179
10500053,1200
10500053,101286
10500054,1151
10500054,1185
10500054,2002
10500055,1830
10500055,2882
10500055,1161
10500058,1162
10500058,2532
10500058,1148
10500061,1179
10500061,1200
10500061,2004
10500063,1176
10500063,2714
10500063,1188
10500066,2883
10500066,1198
10500066,1195
10500067,1163
10500067,2148
10500067,1662
10500068,1159
10500068,1153
10500068,2147
10500069,2004
10500069,1164
10500069,1156
10500070,1168
10500070,101287
10500070,1826
10500071,1363
10500071,2882
10500071,1199
10500072,101285
10500072,1193
10500072,1147
10500074,1151
10500074,2532
10500074,1185
10500075,1176
10500075,1167
10500075,101285
10500076,1195
10500076,1198
10500076,2883
10500077,1203
10500077,2005
10500077,1152
10500078,1199
10500078,2147
10500078,1184
10500079,1148
10500079,1162
10500079,1144
10500080,1664
10500080,1165
10500081,1662
10500081,1163
10500081,1200
10500081,101286
10500083,101284
10500083,1188
10500083,1190
10500086,1147
10500086,1193
10500086,2715
10500089,1185
10500089,1165
10500089,2148
10500090,1664
10500090,2534
10500090,1154
10500092,2004
10500092,2530
10500092,1167
10500093,1189
10500093,1176
10500093,1144
10500093,2714
10500094,2002
