player_id,first_name,last_name,birthdate,school,country,height,weight,season_experience,jersey_number,roster_status,start_year,end_year,draft_year
15,Eric,Piatkowski,1970-09-30,Nebraska,USA,6-7,215,15,52,Inactive,1994,2007,1994
21,Greg,Anthony,1967-11-15,UNLV,USA,6-1,180,11,50,Inactive,1991,2001,1991
41,Anthony,Bonner,1968-06-08,St. Louis,USA,6-8,230,7,33,Inactive,1990,2002,1990
42,Monty,Williams,1971-10-08,Notre Dame,USA,6-8,225,10,5,Inactive,1994,2002,1994
43,Chris,Whitney,1971-10-05,Clemson,USA,6-0,175,12,12,Inactive,1993,2003,1993
45,George,McCloud,1967-05-27,Florida State,USA,6-8,230,13,21,Inactive,1989,2002,1989
53,Mario,Elie,1963-11-26,American International,USA,6-5,225,11,17,Inactive,1990,2000,1985
56,Gary,Payton,1968-07-23,Oregon State,USA,6-4,190,18,20,Inactive,1990,2006,1990
63,Michael,Smith,1972-03-28,Providence,USA,6-8,240,8,34,Inactive,1994,2000,1994
77,Doug,Overton,1969-08-03,La Salle,USA,6-3,190,12,24,Inactive,1992,2003,1991
84,Latrell,Sprewell,1970-09-08,Alabama,USA,6-5,195,14,8,Inactive,1992,2004,1992
87,Dikembe,Mutombo,1966-06-25,Georgetown,Congo,7-2,260,19,55,Inactive,1991,2008,1991
89,Nick,Van Exel,1971-11-27,Cincinnati,USA,6-1,190,13,31,Inactive,1993,2005,1993
93,Hubert,Davis,1970-05-17,North Carolina,USA,6-5,183,13,44,Inactive,1992,2003,1992
95,Mark,Bryant,1965-04-25,Seton Hall,USA,6-9,250,16,9,Inactive,1988,2002,1988
96,Detlef,Schrempf,1963-01-21,Washington,USA,6-10,235,16,12,Inactive,1985,2000,1985
98,Nick,Anderson,1968-01-20,Illinois,USA,6-6,228,14,5,Inactive,1989,2002,1989
105,Dan,Majerle,1965-09-09,Central Michigan,USA,6-6,222,14,9,Inactive,1988,2001,1988
109,Robert,Horry,1970-08-25,Alabama,USA,6-10,240,17,25,Inactive,1992,2007,1992
